"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jun 12 18:11:16 YEKT 2024","Wed Jun 12 18:11:25 YEKT 2024","8921","tests","test_main_page","TestMainPage","","","Проверка отображения первого вопроса при нажатии на него","При нажатии на вопрос, у локатора будет отсуствовать атрибут hidden"
"passed","Wed Jun 12 18:11:47 YEKT 2024","Wed Jun 12 18:11:52 YEKT 2024","5144","tests","test_main_page","TestMainPage","","","Проверка отображения шестого вопроса при нажатии на него","При нажатии на вопрос, у локатора будет отсуствовать атрибут hidden"
"passed","Wed Jun 12 18:11:16 YEKT 2024","Wed Jun 12 18:11:23 YEKT 2024","6793","tests","test_main_page","TestMainPage","","","Проверка отображения пятого вопроса при нажатии на него","При нажатии на вопрос, у локатора будет отсуствовать атрибут hidden"
"passed","Wed Jun 12 18:11:16 YEKT 2024","Wed Jun 12 18:11:26 YEKT 2024","10076","tests","test_main_page","TestMainPage","","","Проверка отображения седьмого вопроса при нажатии на него","При нажатии на вопрос, у локатора будет отсуствовать атрибут hidden"
"passed","Wed Jun 12 18:11:16 YEKT 2024","Wed Jun 12 18:11:31 YEKT 2024","15341","tests","test_order_page","TestOrderPage","","","Проверка создания заказа на самокат","Заполняем поля заказа валидными значениями(по длине и алфавиту), в конце проверяем наличие строки оформлении заказа"
"passed","Wed Jun 12 18:11:47 YEKT 2024","Wed Jun 12 18:11:57 YEKT 2024","10353","tests","test_main_page","TestMainPage","","","Проверка отображения четвертого вопроса при нажатии на него","При нажатии на вопрос, у локатора будет отсуствовать атрибут hidden"
"passed","Wed Jun 12 18:11:48 YEKT 2024","Wed Jun 12 18:11:55 YEKT 2024","6537","tests","test_main_page","TestMainPage","","","Проверка отображения второго вопроса при нажатии на него","При нажатии на вопрос, у локатора будет отсуствовать атрибут hidden"
"passed","Wed Jun 12 18:11:14 YEKT 2024","Wed Jun 12 18:11:23 YEKT 2024","8612","tests","test_main_page","TestMainPage","","","Проверка отображения третьего вопроса при нажатии на него","При нажатии на вопрос, у локатора будет отсуствовать атрибут hidden"
"passed","Wed Jun 12 18:11:58 YEKT 2024","Wed Jun 12 18:12:07 YEKT 2024","9291","tests","test_order_page","TestOrderPage","","","Проверка создания заказа на самокат","Заполняем поля заказа валидными значениями(по длине и алфавиту), в конце проверяем наличие строки оформлении заказа"
"passed","Wed Jun 12 18:11:16 YEKT 2024","Wed Jun 12 18:11:27 YEKT 2024","10760","tests","test_main_page","TestMainPage","","","Проверка перехода на главную страницу","При нажатии на иконку самоката, можно будет найти на странице один из вопросов"
"passed","Wed Jun 12 18:11:50 YEKT 2024","Wed Jun 12 18:12:07 YEKT 2024","17008","tests","test_main_page","TestMainPage","","","Проверка перехода на страницу yandex","При нажатии на иконку yandex, откроется новая вкладка, на которой можно найти форму для запроса"
"passed","Wed Jun 12 18:11:49 YEKT 2024","Wed Jun 12 18:11:55 YEKT 2024","6376","tests","test_main_page","TestMainPage","","","Проверка отображения восьмого вопроса при нажатии на него","При нажатии на вопрос, у локатора будет отсуствовать атрибут hidden"
